"Goal","Target","Indicator","SeriesDescription","Area Name","Observation Status","Reporting Type","2020","2021","2022","2023"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Morocco","A","Global","-8.1","7.1","0.5","2.4"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Mozambique","A","Global","-4.1","-0.6","1.3","2.4"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Myanmar","A","Global","-2.1","1.6","2.7","0.3"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Namibia","A","Global","-10.7","0.6","2.5","1.6"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Nauru","A","Global","1.5","6.6","2","0"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Nepal","A","Global","-4.2","3","4.8","2"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Netherlands (Kingdom of the)","A","Global","-4.4","5.7","4","-1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","New Caledonia","A","Global","-2.6","-2.5","2.9","-1.4"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","New Zealand","A","Global","-1.5","3.9","2.2","-0.1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Nicaragua","A","Global","-3","9","2.4","3.1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Niger","A","Global","0.2","-1.9","8.3","-0.8"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Nigeria","A","Global","-3.9","1.5","1.1","0.7"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","North Macedonia","A","Global","-3.4","5.7","3.4","2.5"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Northern Africa","A","Global","-5.5","3.6","1.9","0.9"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Northern Africa and Western Asia","A","Global","-4.6","4.9","3.8","0.3"
